secid,date,return
108105,19970102,-0.005035
108105,19970103,0.014952
108105,19970106,-0.000508
108105,19970107,0.007463
108105,19970108,-0.006399
108105,19970109,0.008605
108105,19970110,0.00616
108105,19970113,0.000013
108105,19970114,0.012311
108105,19970115,-0.002159
108105,19970116,0.003324
108105,19970117,0.00834
108105,19970120,0.000683
108105,19970121,0.007751
108105,19970122,0.004484
108105,19970123,-0.011027
108105,19970124,-0.009054
108105,19970127,-0.007138
108105,19970128,0
108105,19970129,0.009777
108105,19970130,0.015107
108105,19970131,0.002538
108105,19970203,0.000725
108105,19970204,0.003216
108105,19970205,-0.013912
108105,19970206,0.002403
108105,19970207,0.012062
108105,19970210,-0.005231
108105,19970211,0.005297
108105,19970212,0.016692
108105,19970213,0.011273
108105,19970214,-0.004114
108105,19970218,0.00966
108105,19970219,-0.004655
108105,19970220,-0.011926
108105,19970221,-0.001283
108105,19970224,0.010614
108105,19970225,0.002246
108105,19970226,-0.007905
108105,19970227,-0.013169
108105,19970228,-0.005345
108105,19970303,0.005678
108105,19970304,-0.005482
108105,19970305,0.013958
108105,19970306,-0.004277
108105,19970307,0.008027
108105,19970310,0.010783
108105,19970311,-0.002839
108105,19970312,-0.008726
108105,19970313,-0.018278
108105,19970314,0.004572
108105,19970317,0.003202
108105,19970318,-0.007603
108105,19970319,-0.004926
108105,19970320,-0.003971
108105,19970321,0.001853
108105,19970324,0.00866
108105,19970325,-0.002301
108105,19970326,0.001812
108105,19970327,-0.021025
108105,19970331,-0.021657
108105,19970401,0.003328
108105,19970402,-0.012545
108105,19970403,0.00028
108105,19970404,0.010102
108105,19970407,0.005581
108105,19970408,0.005235
108105,19970409,-0.007205
108105,19970410,-0.002971
108105,19970411,-0.027283
108105,19970414,0.008242
108105,19970415,0.014777
108105,19970416,0.011673
108105,19970417,-0.002305
108105,19970418,0.005999
108105,19970421,-0.00779
108105,19970422,0.018728
108105,19970423,-0.001252
108105,19970424,-0.00318
108105,19970425,-0.007534
108105,19970428,0.009917
108105,19970429,0.027285
108105,19970430,0.009181
108105,19970501,-0.003507
108105,19970502,0.018083
108105,19970505,0.021243
108105,19970506,-0.002987
108105,19970507,-0.014666
108105,19970508,0.005689
108105,19970509,0.00551
108105,19970512,0.015616
108105,19970513,-0.005408
108105,19970514,0.003493
108105,19970515,0.006985
108105,19970516,-0.014408
108105,19970519,0.004242
108105,19970520,0.010069
108105,19970521,-0.002745
108105,19970522,-0.004396
108105,19970523,0.013606
108105,19970527,0.003164
108105,19970528,-0.002942
108105,19970529,-0.003694
108105,19970530,0.004976
108105,19970602,-0.002263
108105,19970603,-0.00104
108105,19970604,-0.006351
108105,19970605,0.003952
108105,19970606,0.017287
108105,19970609,0.005711
108105,19970610,0.002735
108105,19970611,0.00497
108105,19970612,0.015996
108105,19970613,0.011081
108105,19970616,0.000705
108105,19970617,0.000582
108105,19970618,-0.005993
108105,19970619,0.010044
108105,19970620,0.000791
108105,19970623,-0.022343
108105,19970624,0.020168
108105,19970625,-0.0082
108105,19970626,-0.005973
108105,19970627,0.004097
108105,19970630,-0.002434
108105,19970701,0.006654
108105,19970702,0.01459
108105,19970703,0.014258
108105,19970707,-0.005148
108105,19970708,0.00718
108105,19970709,-0.012201
108105,19970710,0.006876
108105,19970711,0.003174
108105,19970714,0.001855
108105,19970715,0.008036
108105,19970716,0.011699
108105,19970717,-0.005317
108105,19970718,-0.017507
108105,19970721,-0.002578
108105,19970722,0.023046
108105,19970723,0.002762
108105,19970724,0.003993
108105,19970725,-0.001606
108105,19970728,-0.002493
108105,19970729,0.006236
108105,19970730,0.010612
108105,19970731,0.0021
108105,19970801,-0.007492
108105,19970804,0.003336
108105,19970805,0.002178
108105,19970806,0.008348
108105,19970807,-0.009507
108105,19970808,-0.018556
108105,19970811,0.003706
108105,19970812,-0.011174
108105,19970813,-0.004868
108105,19970814,0.002983
108105,19970815,-0.025909
108105,19970818,0.012966
108105,19970819,0.014817
108105,19970820,0.014406
108105,19970821,-0.015223
108105,19970822,-0.001622
108105,19970825,-0.003671
108105,19970826,-0.007759
108105,19970827,0.000745
108105,19970828,-0.010977
108105,19970829,-0.004648
108105,19970902,0.031252
108105,19970903,0.000302
108105,19970904,0.003244
108105,19970905,-0.001955
108105,19970908,0.002314
108105,19970909,0.002599
108105,19970910,-0.015627
108105,19970911,-0.007007
108105,19970912,0.012404
108105,19970915,-0.004481
108105,19970916,0.028127
108105,19970917,-0.002792
108105,19970918,0.004549
108105,19970919,0.003399
108105,19970922,0.005176
108105,19970923,-0.003663
108105,19970924,-0.007826
108105,19970925,-0.006956
108105,19970926,0.007794
108105,19970929,0.008591
108105,19970930,-0.006357
108105,19971001,0.008582
108105,19971002,0.005286
108105,19971003,0.004758
108105,19971006,0.007938
108105,19971007,0.010723
108105,19971008,-0.009439
108105,19971009,-0.003307
108105,19971010,-0.00375
108105,19971013,0.001158
108105,19971014,0.002252
108105,19971015,-0.0047
108105,19971016,-0.010862
108105,19971017,-0.011589
108105,19971020,0.012127
108105,19971021,0.017444
108105,19971022,-0.003898
108105,19971023,-0.018379
108105,19971024,-0.009519
108105,19971027,-0.068657
108105,19971028,0.051152
108105,19971029,-0.002918
108105,19971030,-0.016841
108105,19971031,0.012106
108105,19971103,0.026645
108105,19971104,0.001885
108105,19971105,0.002126
108105,19971106,-0.005017
108105,19971107,-0.011215
108105,19971110,-0.006879
108105,19971111,0.002877
108105,19971112,-0.01929
108105,19971113,0.011811
108105,19971114,0.012753
