secid,date,close
108105,19970102,737.01
108105,19970103,748.03
108105,19970106,747.65
108105,19970107,753.23
108105,19970108,748.41
108105,19970109,754.85
108105,19970110,759.5
108105,19970113,759.51
108105,19970114,768.86
108105,19970115,767.2
108105,19970116,769.75
108105,19970117,776.17
108105,19970120,776.7
108105,19970121,782.72
108105,19970122,786.23
108105,19970123,777.56
108105,19970124,770.52
108105,19970127,765.02
108105,19970128,765.02
108105,19970129,772.5
108105,19970130,784.17
108105,19970131,786.16
108105,19970203,786.73
108105,19970204,789.26
108105,19970205,778.28
108105,19970206,780.15
108105,19970207,789.56
108105,19970210,785.43
108105,19970211,789.59
108105,19970212,802.77
108105,19970213,811.82
108105,19970214,808.48
108105,19970218,816.29
108105,19970219,812.49
108105,19970220,802.8
108105,19970221,801.77
108105,19970224,810.28
108105,19970225,812.1
108105,19970226,805.68
108105,19970227,795.07
108105,19970228,790.82
108105,19970303,795.31
108105,19970304,790.95
108105,19970305,801.99
108105,19970306,798.56
108105,19970307,804.97
108105,19970310,813.65
108105,19970311,811.34
108105,19970312,804.26
108105,19970313,789.56
108105,19970314,793.17
108105,19970317,795.71
108105,19970318,789.66
108105,19970319,785.77
108105,19970320,782.65
108105,19970321,784.1
108105,19970324,790.89
108105,19970325,789.07
108105,19970326,790.5
108105,19970327,773.88
108105,19970331,757.12
108105,19970401,759.64
108105,19970402,750.11
108105,19970403,750.32
108105,19970404,757.9
108105,19970407,762.13
108105,19970408,766.12
108105,19970409,760.6
108105,19970410,758.34
108105,19970411,737.65
108105,19970414,743.73
108105,19970415,754.72
108105,19970416,763.53
108105,19970417,761.77
108105,19970418,766.34
108105,19970421,760.37
108105,19970422,774.61
108105,19970423,773.64
108105,19970424,771.18
108105,19970425,765.37
108105,19970428,772.96
108105,19970429,794.05
108105,19970430,801.34
108105,19970501,798.53
108105,19970502,812.97
108105,19970505,830.24
108105,19970506,827.76
108105,19970507,815.62
108105,19970508,820.26
108105,19970509,824.78
108105,19970512,837.66
108105,19970513,833.13
108105,19970514,836.04
108105,19970515,841.88
108105,19970516,829.75
108105,19970519,833.27
108105,19970520,841.66
108105,19970521,839.35
108105,19970522,835.66
108105,19970523,847.03
108105,19970527,849.71
108105,19970528,847.21
108105,19970529,844.08
108105,19970530,848.28
108105,19970602,846.36
108105,19970603,845.48
108105,19970604,840.11
108105,19970605,843.43
108105,19970606,858.01
108105,19970609,862.91
108105,19970610,865.27
108105,19970611,869.57
108105,19970612,883.48
108105,19970613,893.27
108105,19970616,893.9
108105,19970617,894.42
108105,19970618,889.06
108105,19970619,897.99
108105,19970620,898.7
108105,19970623,878.62
108105,19970624,896.34
108105,19970625,888.99
108105,19970626,883.68
108105,19970627,887.3
108105,19970630,885.14
108105,19970701,891.03
108105,19970702,904.03
108105,19970703,916.92
108105,19970707,912.2
108105,19970708,918.75
108105,19970709,907.54
108105,19970710,913.78
108105,19970711,916.68
108105,19970714,918.38
108105,19970715,925.76
108105,19970716,936.59
108105,19970717,931.61
108105,19970718,915.3
108105,19970721,912.94
108105,19970722,933.98
108105,19970723,936.56
108105,19970724,940.3
108105,19970725,938.79
108105,19970728,936.45
108105,19970729,942.29
108105,19970730,952.29
108105,19970731,954.29
108105,19970801,947.14
108105,19970804,950.3
108105,19970805,952.37
108105,19970806,960.32
108105,19970807,951.19
108105,19970808,933.54
108105,19970811,937
108105,19970812,926.53
108105,19970813,922.02
108105,19970814,924.77
108105,19970815,900.81
108105,19970818,912.49
108105,19970819,926.01
108105,19970820,939.35
108105,19970821,925.05
108105,19970822,923.55
108105,19970825,920.16
108105,19970826,913.02
108105,19970827,913.7
108105,19970828,903.67
108105,19970829,899.47
108105,19970902,927.58
108105,19970903,927.86
108105,19970904,930.87
108105,19970905,929.05
108105,19970908,931.2
108105,19970909,933.62
108105,19970910,919.03
108105,19970911,912.59
108105,19970912,923.91
108105,19970915,919.77
108105,19970916,945.64
108105,19970917,943
108105,19970918,947.29
108105,19970919,950.51
108105,19970922,955.43
108105,19970923,951.93
108105,19970924,944.48
108105,19970925,937.91
108105,19970926,945.22
108105,19970929,953.34
108105,19970930,947.28
108105,19971001,955.41
108105,19971002,960.46
108105,19971003,965.03
108105,19971006,972.69
108105,19971007,983.12
108105,19971008,973.84
108105,19971009,970.62
108105,19971010,966.98
108105,19971013,968.1
108105,19971014,970.28
108105,19971015,965.72
108105,19971016,955.23
108105,19971017,944.16
108105,19971020,955.61
108105,19971021,972.28
108105,19971022,968.49
108105,19971023,950.69
108105,19971024,941.64
108105,19971027,876.99
108105,19971028,921.85
108105,19971029,919.16
108105,19971030,903.68
108105,19971031,914.62
108105,19971103,938.99
108105,19971104,940.76
108105,19971105,942.76
108105,19971106,938.03
108105,19971107,927.51
108105,19971110,921.13
108105,19971111,923.78
108105,19971112,905.96
108105,19971113,916.66
108105,19971114,928.35
108105,19971117,946.2
108105,19971118,938.23
108105,19971119,944.59
108105,19971120,958.98
108105,19971121,963.09
108105,19971124,946.67
108105,19971125,950.82
108105,19971126,951.64
108105,19971128,955.4
108105,19971201,974.77
108105,19971202,971.68
108105,19971203,976.77
108105,19971204,973.1
108105,19971205,983.79
108105,19971208,982.37
108105,19971209,975.78
108105,19971210,969.79
108105,19971211,954.94
108105,19971212,953.39
108105,19971215,963.39
108105,19971216,968.04
108105,19971217,965.54
108105,19971218,955.3
108105,19971219,946.78
108105,19971222,953.7
108105,19971223,939.13
108105,19971224,932.7
108105,19971226,936.46
108105,19971229,953.35
108105,19971230,970.84
108105,19971231,970.43
108105,19980102,975.04
108105,19980105,977.07
108105,19980106,966.58
108105,19980107,964
108105,19980108,956.05
108105,19980109,927.69
108105,19980112,939.21
108105,19980113,952.12
108105,19980114,957.94
108105,19980115,950.73
108105,19980116,961.51
108105,19980120,978.6
108105,19980121,970.81
108105,19980122,963.04
108105,19980123,957.59
108105,19980126,956.95
108105,19980127,969.02
108105,19980128,977.46
108105,19980129,985.49
108105,19980130,980.28
108105,19980202,1001.27
108105,19980203,1006
108105,19980204,1006.9
108105,19980205,1003.54
108105,19980206,1012.46
108105,19980209,1010.74
108105,19980210,1019.01
108105,19980211,1020.01
108105,19980212,1024.14
108105,19980213,1020.09
108105,19980217,1022.76
108105,19980218,1032.08
108105,19980219,1028.28
108105,19980220,1034.21
108105,19980223,1038.14
108105,19980224,1030.56
108105,19980225,1042.9
108105,19980226,1048.67
108105,19980227,1049.34
108105,19980302,1047.7
108105,19980303,1052.02
108105,19980304,1047.33
108105,19980305,1035.05
108105,19980306,1055.69
108105,19980309,1052.31
108105,19980310,1064.25
108105,19980311,1068.47
108105,19980312,1069.92
108105,19980313,1068.61
108105,19980316,1079.27
108105,19980317,1080.45
108105,19980318,1085.52
108105,19980319,1089.74
108105,19980320,1099.16
108105,19980323,1095.55
108105,19980324,1105.65
108105,19980325,1101.93
108105,19980326,1100.8
108105,19980327,1095.44
108105,19980330,1093.55
108105,19980331,1101.75
108105,19980401,1108.15
108105,19980402,1120.01
108105,19980403,1122.7
108105,19980406,1121.38
108105,19980407,1109.55
108105,19980408,1101.65
108105,19980409,1110.67
108105,19980413,1109.69
108105,19980414,1115.75
108105,19980415,1119.32
108105,19980416,1108.17
108105,19980417,1122.72
108105,19980420,1123.65
108105,19980421,1126.67
108105,19980422,1130.54
108105,19980423,1119.58
108105,19980424,1107.9
108105,19980427,1086.54
108105,19980428,1085.11
108105,19980429,1094.63
108105,19980430,1111.75
108105,19980501,1121
108105,19980504,1122.07
108105,19980505,1115.5
108105,19980506,1104.92
108105,19980507,1095.14
108105,19980508,1108.14
108105,19980511,1106.64
108105,19980512,1115.79
108105,19980513,1118.86
108105,19980514,1117.37
108105,19980515,1108.73
108105,19980518,1105.82
108105,19980519,1109.52
108105,19980520,1119.06
108105,19980521,1114.64
108105,19980522,1110.47
108105,19980526,1094.02
108105,19980527,1092.23
108105,19980528,1097.6
108105,19980529,1090.82
108105,19980601,1090.98
108105,19980602,1093.22
108105,19980603,1082.73
108105,19980604,1094.83
108105,19980605,1113.86
108105,19980608,1115.72
108105,19980609,1118.41
108105,19980610,1112.28
108105,19980611,1094.58
108105,19980612,1098.84
108105,19980615,1077.01
108105,19980616,1087.59
108105,19980617,1107.11
108105,19980618,1106.37
108105,19980619,1100.65
108105,19980622,1103.24
108105,19980623,1119.49
108105,19980624,1132.88
108105,19980625,1129.28
108105,19980626,1133.2
108105,19980629,1138.49
108105,19980630,1133.84
108105,19980701,1148.56
108105,19980702,1146.42
108105,19980706,1157.33
108105,19980707,1154.66
108105,19980708,1166.38
108105,19980709,1158.56
108105,19980710,1164.33
108105,19980713,1165.19
108105,19980714,1177.58
108105,19980715,1174.81
108105,19980716,1183.99
108105,19980717,1186.75
108105,19980720,1184.1
108105,19980721,1165.07
108105,19980722,1164.08
108105,19980723,1139.75
108105,19980724,1140.8
108105,19980727,1147.27
108105,19980728,1130.24
108105,19980729,1125.21
108105,19980730,1142.95
108105,19980731,1120.67
108105,19980803,1112.44
108105,19980804,1072.12
108105,19980805,1081.43
108105,19980806,1089.63
108105,19980807,1089.45
108105,19980810,1083.14
108105,19980811,1068.98
108105,19980812,1084.22
108105,19980813,1074.91
108105,19980814,1062.75
108105,19980817,1083.67
108105,19980818,1101.2
108105,19980819,1098.06
108105,19980820,1091.6
108105,19980821,1081.24
108105,19980824,1088.14
108105,19980825,1092.85
108105,19980826,1084.19
108105,19980827,1042.59
108105,19980828,1027.14
108105,19980831,957.28
108105,19980901,994.26
108105,19980902,990.47
108105,19980903,982.26
108105,19980904,973.89
108105,19980908,1023.46
108105,19980909,1006.2
108105,19980910,980.19
108105,19980911,1009.06
108105,19980914,1029.72
108105,19980915,1037.68
108105,19980916,1045.48
108105,19980917,1018.87
108105,19980918,1020.09
108105,19980921,1023.89
108105,19980922,1029.63
108105,19980923,1066.09
108105,19980924,1042.72
108105,19980925,1044.75
108105,19980928,1048.69
108105,19980929,1049.02
108105,19980930,1017.01
108105,19981001,986.39
108105,19981002,1002.6
108105,19981005,988.56
108105,19981006,984.59
108105,19981007,970.68
108105,19981008,959.44
108105,19981009,984.39
108105,19981012,997.71
108105,19981013,994.8
108105,19981014,1005.53
108105,19981015,1047.49
108105,19981016,1056.42
108105,19981019,1062.39
108105,19981020,1063.93
108105,19981021,1069.92
108105,19981022,1078.48
108105,19981023,1070.67
108105,19981026,1072.32
108105,19981027,1065.34
108105,19981028,1068.09
108105,19981029,1085.93
108105,19981030,1098.67
108105,19981102,1111.6
108105,19981103,1110.84
108105,19981104,1118.67
108105,19981105,1133.85
108105,19981106,1141.01
108105,19981109,1130.2
108105,19981110,1128.26
108105,19981111,1120.97
108105,19981112,1117.69
108105,19981113,1125.72
108105,19981116,1135.87
108105,19981117,1139.32
108105,19981118,1144.48
108105,19981119,1152.61
108105,19981120,1163.55
108105,19981123,1188.21
108105,19981124,1182.99
108105,19981125,1186.87
108105,19981127,1192.33
108105,19981130,1163.63
108105,19981201,1175.28
108105,19981202,1171.25
108105,19981203,1150.14
108105,19981204,1176.74
108105,19981207,1187.7
108105,19981208,1181.38
108105,19981209,1183.49
108105,19981210,1165.02
108105,19981211,1166.46
108105,19981214,1141.2
108105,19981215,1162.83
108105,19981216,1161.94
108105,19981217,1179.98
108105,19981218,1188.03
108105,19981221,1202.84
108105,19981222,1203.57
108105,19981223,1228.54
108105,19981224,1226.27
108105,19981228,1225.49
108105,19981229,1241.81
108105,19981230,1231.93
108105,19981231,1229.23
108105,19990104,1228.1
108105,19990105,1244.78
108105,19990106,1272.34
108105,19990107,1269.73
108105,19990108,1275.09
108105,19990111,1263.88
108105,19990112,1239.51
108105,19990113,1234.4
108105,19990114,1212.19
